epoch,step,train_loss_epoch,train_loss_step
0,2,0.1452888399362564,
1,5,0.13227084279060364,
2,8,0.12224467843770981,
3,11,0.11457260698080063,
4,14,0.10692969709634781,
5,17,0.10190100222826004,
6,20,0.09613528102636337,
7,23,0.09044905751943588,
8,26,0.08399013429880142,
9,29,0.08033371716737747,
10,32,0.07804679125547409,
11,35,0.07445808500051498,
12,38,0.0708012580871582,
13,41,0.06677769124507904,
14,44,0.06403220444917679,
15,47,0.062268633395433426,
16,49,,0.06034982204437256
16,50,0.060268107801675797,
17,53,0.05981004610657692,
18,56,0.0574992336332798,
19,59,0.05619193613529205,
20,62,0.054726775735616684,
21,65,0.05334371328353882,
22,68,0.05348123610019684,
23,71,0.052460819482803345,
24,74,0.051488373428583145,
25,77,0.05207925662398338,
26,80,0.05156053230166435,
27,83,0.050718873739242554,
28,86,0.05049503967165947,
29,89,0.05097026005387306,
30,92,0.05033949017524719,
31,95,0.05004832521080971,
32,98,0.049688588827848434,
33,99,,0.05127827078104019
33,101,0.050658345222473145,
34,104,0.050074849277734756,
35,107,0.049980659037828445,
36,110,0.049949247390031815,
37,113,0.05009622499346733,
38,116,0.04903283715248108,
39,119,0.05010286346077919,
40,122,0.04963560029864311,
41,125,0.04915417358279228,
42,128,0.04911768063902855,
43,131,0.04923807457089424,
44,134,0.04912770166993141,
45,137,0.049424633383750916,
46,140,0.04894152656197548,
47,143,0.04914725944399834,
48,146,0.04907458648085594,
49,149,,0.051257919520139694
49,149,0.049353983253240585,
